"Publication Year","Author","Title","Subgenre","Page Count",,"Total Authors:",300
1990,"Allen Steele","Orbital Decay","Aerospace Engineering / LEO Logistics",324,,,
1990,"Ben Bova","Voyagers II: The Alien Within","Astrobiology / First Contact",352,,,
1990,"C.J. Cherryh","Rimrunners","Space Industry / Near-Future",336,,,
1990,"Joan D. Vinge","The Summer Queen","Cultural Anthropology/Resource Economics",672,,,
1990,"John Steakley","Armor","Materials Science / Biomechanics",432,,,
1990,"John Varley","Steel Beach","Space Colonization / Medical SF",480,,,
1990,"L.E. Modesitt Jr.","The Ecologic Secession","Ecology / Political Science",384,,,
1990,"Lee Correy","The Spacewins","Aerospace Engineering / Economics",300,,,
1990,"Linda Nagata","For the Sake of Others","Nanotechnology SF",347,,,
1990,"Michael Crichton","Jurassic Park","Genetic Engineering / Biopunk",448,,,
1990,"Michael McCollum","The Clouds of Saturn","Solar System Exploration",320,,,
1990,"Phillip Mann","Wulfsyarn","Cybernetics / Information Theory",300,,,
1990,"Robert L. Forward","Rocheworld","Xenobiology / Astrobiology",480,,,
1990,"V.E. Mitchell","Enemy Unseen","Astrobiology / Physics",280,,,
1990,"W. Michael Gear","Starstrike","Orbital Mechanics / Astrobiology",350,,,
1991,"Alexander Jablokov","Carve the Sky","Materials Science / Orbital Mechanics",320,,,
1991,"Allen Steele","Lunar Descent","Lunar Mining / Engineering",352,,,
1991,"Arthur C. Clarke, Gregory Benford","Beyond the Fall of Night","Megastructures / Singularity",352,,,
1991,"Ben Bova","Star Brothers (Voyagers III)","Astrobiology / First Contact",352,,,
1991,"C.J. Cherryh","Heavy Time","Asteroid Mining / Space Industry",384,,,
1991,"Charles Sheffield","Summertide","Astro-Archaeology / Physics",300,,,
1991,"David Brin","Earth","Near-Future / Ecology (Hard)",682,,,
1991,"Geoffrey A. Landis","A Walk in the Sun","Solar Power / Lunar Survival",120,,,
1991,"George Zebrowski","Stranger Suns","Theoretical Physics / Xenobiology",320,,,
1991,"Greg Bear","Heads","Quantum Logic / Physics",126,,,
1991,"Greg Bear","Queen of Angels","Neurobiology / Near-Future",496,,,
1991,"Gregory Benford","Sailing Bright Eternity","Relativistic SF",528,,,
1991,"Isaac Asimov, Robert Silverberg","Nightfall","Astrobiology / Planetary Romance",352,,,
1991,"J.P. Boyd","The Martian Enigma","Planetary Science / Geology",300,,,
1991,"James White","The Genocidal Healer","Exobiology / Medicine",224,,,
1991,"Lee Correy","Mars-I","Planetary Science / Geophysics",320,,,
1991,"Lois McMaster Bujold","Barrayar","Medical/Biological Hard SF",384,,,
1991,"Michael Flynn","Fallen Angels","Climate Fiction / Orbital Mechanics",448,,,
1991,"Michael McCollum","The Sails of Tau Ceti","Interstellar Travel / First Contact",336,,,
1991,"Michael Swanwick","Griffin's Egg","Materials Science / Lunar Engineering",120,,,
1991,"Michael Swanwick","Griffin's Egg","Materials Science / Lunar Engineering",120,,,
